"Contractor_Name","Contractor_Details_URL","State_Local_Auth","Contract_Number","Phone","Location","Socio_Economic_Indicators","Contractor_TC_Price_List","View_Catalog"
"AITHERAS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0068S&contractorName=AITHERAS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0068S,3019389376,"ROCKVILLE ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0068S/GS35F0068S_online.htm,advRedirect.do?contract=GS-35F-0068S&sin=132+51&src=elib&app=cat
"AKA ENTERPRISE SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-499CA&contractorName=AKA+ENTERPRISE+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-499CA,212-502-3900,"NEW YORK ,NY",s/d,https://www.gsaadvantage.gov/ref_text/GS35F499CA/GS35F499CA_online.htm,advRedirect.do?contract=GS-35F-499CA&sin=132+51&src=elib&app=cat
"AKAMAI TECHNOLOGIES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0626M&contractorName=AKAMAI+TECHNOLOGIES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0626M,703-581-6422,"CAMBRIDGE ,MA",o,https://www.gsaadvantage.gov/ref_text/GS35F0626M/GS35F0626M_online.htm,advRedirect.do?contract=GS-35F-0626M&sin=132+51&src=elib&app=cat
"AKIMEKA, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0597L&contractorName=AKIMEKA%2C+LLC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0597L,407-475-3820,"KIHEI ,HI",o,https://www.gsaadvantage.gov/ref_text/GS35F0597L/GS35F0597L_online.htm,advRedirect.do?contract=GS-35F-0597L&sin=132+51&src=elib&app=cat
"AKIRA TECHNOLOGIES, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-515BA&contractorName=AKIRA+TECHNOLOGIES%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-515BA,571-244-4596,"WASHINGTON ,DC",s/d/8a/h,https://www.gsaadvantage.gov/ref_text/GS35F515BA/GS35F515BA_online.htm,advRedirect.do?contract=GS-35F-515BA&sin=132+51&src=elib&app=cat
AKRAYA INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0738V&contractorName=AKRAYA+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0738V,408-904-6404,"SANTA CLARA ,CA",o,https://www.gsaadvantage.gov/ref_text/GS35F0738V/GS35F0738V_online.htm,advRedirect.do?contract=GS-35F-0738V&sin=132+51&src=elib&app=cat
"ALAMO CITY ENGINEERING SERVICES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0598S&contractorName=ALAMO+CITY+ENGINEERING+SERVICES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0598S,(210) 386-7340,"SAN ANTONIO ,TX",s/dv/h,https://www.gsaadvantage.gov/ref_text/GS35F0598S/GS35F0598S_online.htm,advRedirect.do?contract=GS-35F-0598S&sin=132+51&src=elib&app=cat
"ALCYON, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-463BA&contractorName=ALCYON%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-463BA,256-704-2305 X 208,"HUNTSVILLE ,AL",s/w/wo/ew/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F463BA/GS35F463BA_online.htm,advRedirect.do?contract=GS-35F-463BA&sin=132+51&src=elib&app=cat
ALESIG CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0576W&contractorName=ALESIG+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0576W,7035641901,"FALLS CHURCH ,VA",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0576W/GS35F0576W_online.htm,advRedirect.do?contract=GS-35F-0576W&sin=132+51&src=elib&app=cat
"ALETHIX, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-443CA&contractorName=ALETHIX%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-443CA,703-850-7045,"FAIRFAX ,VA",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F443CA/GS35F443CA_online.htm,advRedirect.do?contract=GS-35F-443CA&sin=132+51&src=elib&app=cat
"ALIGNED DEVELOPMENT STRATEGIES, INCORPORATED",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0360L&contractorName=ALIGNED+DEVELOPMENT+STRATEGIES%2C+INCORPORATED&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0360L,2026592807,"WASHINGTON ,DC",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0360L/GS35F0360L_online.htm,advRedirect.do?contract=GS-35F-0360L&sin=132+51&src=elib&app=cat
ALION SCIENCE AND TECHNOLOGY CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4721G&contractorName=ALION+SCIENCE+AND+TECHNOLOGY+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4721G,7032595235,"BURR RIDGE ,IL",o,https://www.gsaadvantage.gov/ref_text/GS35F4721G/GS35F4721G_online.htm,advRedirect.do?contract=GS-35F-4721G&sin=132+51&src=elib&app=cat
"ALITECH CONSULTING, LP",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0251X&contractorName=ALITECH+CONSULTING%2C+LP&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0251X,2814330676,"SPRING ,TX",s,https://www.gsaadvantage.gov/ref_text/GS35F0251X/GS35F0251X_online.htm,advRedirect.do?contract=GS-35F-0251X&sin=132+51&src=elib&app=cat
"ALL NATIVE SYSTEMS, L.L.C.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0412V&contractorName=ALL+NATIVE+SYSTEMS%2C+L.L.C.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0412V,402-614-4334,"WINNEBAGO ,NE",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0412V/GS35F0412V_online.htm,advRedirect.do?contract=GS-35F-0412V&sin=132+51&src=elib&app=cat
"ALL POINTS LOGISTICS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-249AA&contractorName=ALL+POINTS+LOGISTICS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-249AA,256-963-0100,"HUNTSVILLE ,AL",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F249AA/GS35F249AA_online.htm,advRedirect.do?contract=GS-35F-249AA&sin=132+51&src=elib&app=cat
"ALLCOM GLOBAL SERVICES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-004CA&contractorName=ALLCOM+GLOBAL+SERVICES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-004CA,6367552020,"LAKE SAINT LOUIS ,MO",o,https://www.gsaadvantage.gov/ref_text/GS35F004CA/GS35F004CA_online.htm,advRedirect.do?contract=GS-35F-004CA&sin=132+51&src=elib&app=cat
ALLEGHENY SCIENCE & TECHNOLOGY CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-258BA&contractorName=ALLEGHENY+SCIENCE+%26+TECHNOLOGY+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-258BA,304-534-7850,"BRIDGEPORT ,WV",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F258BA/GS35F258BA_online.htm,advRedirect.do?contract=GS-35F-258BA&sin=132+51&src=elib&app=cat
"ALLEGIANCE CONSULTING, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0360S&contractorName=ALLEGIANCE+CONSULTING%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0360S,720-947-9201,"DENVER ,CO",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F0360S/GS35F0360S_online.htm,advRedirect.do?contract=GS-35F-0360S&sin=132+51&src=elib&app=cat
"ALLEN CORPORATION OF AMERICA, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0571J&contractorName=ALLEN+CORPORATION+OF+AMERICA%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0571J,(571)321-1610,"FAIRFAX ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F0571J/GS35F0571J_online.htm,advRedirect.do?contract=GS-35F-0571J&sin=132+51&src=elib&app=cat
ALLIANCE CONSULTING CORP.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0909P&contractorName=ALLIANCE+CONSULTING+CORP.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0909P,301-294-9290,"ROCKVILLE ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0909P/GS35F0909P_online.htm,advRedirect.do?contract=GS-35F-0909P&sin=132+51&src=elib&app=cat
"ALLIANCE TECHNOLOGY GROUP, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0324R&contractorName=ALLIANCE+TECHNOLOGY+GROUP%2C+LLC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0324R,410-712-0270,"HANOVER ,MD",s/w/d,https://www.gsaadvantage.gov/ref_text/GS35F0324R/GS35F0324R_online.htm,advRedirect.do?contract=GS-35F-0324R&sin=132+51&src=elib&app=cat
"ALLIANT KEYSTONE CONSULTING PARTNERS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-420CA&contractorName=ALLIANT+KEYSTONE+CONSULTING+PARTNERS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-420CA,281-822-0598,"HOUSTON ,TX",s,https://www.gsaadvantage.gov/ref_text/GS35F420CA/GS35F420CA_online.htm,advRedirect.do?contract=GS-35F-420CA&sin=132+51&src=elib&app=cat
ALPHASIX CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-307AA&contractorName=ALPHASIX+CORPORATION&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-307AA,703-579-6479,"STERLING ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F307AA/GS35F307AA_online.htm,advRedirect.do?contract=GS-35F-307AA&sin=132+51&src=elib&app=cat
ALPHATECH SYSTEMS AND CONSULTING INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-537BA&contractorName=ALPHATECH+SYSTEMS+AND+CONSULTING+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-537BA,269-274-7877,"ABINGDON ,MD",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F537BA/GS35F537BA_online.htm,advRedirect.do?contract=GS-35F-537BA&sin=132+51&src=elib&app=cat
ALPINE TECHNOLOGY GROUP,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0633S&contractorName=ALPINE+TECHNOLOGY+GROUP&executeQuery=YES,,GS-35F-0633S,303-774-0100,"LONGMONT ,CO",s,https://www.gsaadvantage.gov/ref_text/GS35F0633S/GS35F0633S_online.htm,advRedirect.do?contract=GS-35F-0633S&sin=132+51&src=elib&app=cat
"ALQIMI NATIONAL SECURITY, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-316CA&contractorName=ALQIMI+NATIONAL+SECURITY%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-316CA,240-404-7503,"ROCKVILLE ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F316CA/GS35F316CA_online.htm,advRedirect.do?contract=GS-35F-316CA&sin=132+51&src=elib&app=cat
"ALQIMI TECHNOLOGY SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-015DA&contractorName=ALQIMI+TECHNOLOGY+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-015DA,301-858-1351,"ROCKVILLE ,MD",s,https://www.gsaadvantage.gov/ref_text/GS35F015DA/GS35F015DA_online.htm,advRedirect.do?contract=GS-35F-015DA&sin=132+51&src=elib&app=cat
"ALSEA GEOSPATIAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0920P&contractorName=ALSEA+GEOSPATIAL%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0920P,5417545034 X103,"CORVALLIS ,OR",s/w/h,https://www.gsaadvantage.gov/ref_text/GS35F0920P/GS35F0920P_online.htm,advRedirect.do?contract=GS-35F-0920P&sin=132+51&src=elib&app=cat
ALTAMIRA TECHNOLOGIES CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-134CA&contractorName=ALTAMIRA+TECHNOLOGIES+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-134CA,9374904802,"MCLEAN ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F134CA/GS35F134CA_online.htm,advRedirect.do?contract=GS-35F-134CA&sin=132+51&src=elib&app=cat
ALTER MODUS INTERNATIONAL CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-338CA&contractorName=ALTER+MODUS+INTERNATIONAL+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-338CA,202-572-1053,"WASHINGTON ,DC",s/8a,https://www.gsaadvantage.gov/ref_text/GS35F338CA/GS35F338CA_online.htm,advRedirect.do?contract=GS-35F-338CA&sin=132+51&src=elib&app=cat
"ALTUM, INCORPORATED",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0516L&contractorName=ALTUM%2C+INCORPORATED&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0516L,7036753606,"RESTON ,VA",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0516L/GS35F0516L_online.htm,advRedirect.do?contract=GS-35F-0516L&sin=132+51&src=elib&app=cat
"ALTURA COMMUNICATION SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0666W&contractorName=ALTURA+COMMUNICATION+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0666W,8774544472,"FULLERTON ,CA",o,https://www.gsaadvantage.gov/ref_text/GS35F0666W/GS35F0666W_online.htm,advRedirect.do?contract=GS-35F-0666W&sin=132+51&src=elib&app=cat
ALTUS CONSULTING CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-165BA&contractorName=ALTUS+CONSULTING+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-165BA,703-994-0537,"WATERFORD ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F165BA/GS35F165BA_online.htm,advRedirect.do?contract=GS-35F-165BA&sin=132+51&src=elib&app=cat
"ALTUS TECHNICAL SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-288CA&contractorName=ALTUS+TECHNICAL+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-288CA,443-312-2069,"SEVERN ,MD",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F288CA/GS35F288CA_online.htm,advRedirect.do?contract=GS-35F-288CA&sin=132+51&src=elib&app=cat
ALYN INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-500AA&contractorName=ALYN+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-500AA,770-421-9201,"ROSWELL ,GA",s,https://www.gsaadvantage.gov/ref_text/GS35F500AA/GS35F500AA_online.htm,advRedirect.do?contract=GS-35F-500AA&sin=132+51&src=elib&app=cat
AM2 SOLUTIONS LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0512X&contractorName=AM2+SOLUTIONS+LLC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0512X,571-251-1038,"ALEXANDRIA ,VA",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F0512X/GS35F0512X_online.htm,advRedirect.do?contract=GS-35F-0512X&sin=132+51&src=elib&app=cat
AMALGA SYSTEMS INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-578AA&contractorName=AMALGA+SYSTEMS+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-578AA,3012081700,"BETHESDA ,MD",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F578AA/GS35F578AA_online.htm,advRedirect.do?contract=GS-35F-578AA&sin=132+51&src=elib&app=cat
"AMARA ENTERPRISE, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-042GA&contractorName=AMARA+ENTERPRISE%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-042GA,(202)715-1656,"WASHINGTON ,DC",s/w/wo/ew/d,,
AMBIT GROUP LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0242T&contractorName=AMBIT+GROUP+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0242T,703-956-1689,"RESTON ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F0242T/GS35F0242T_online.htm,advRedirect.do?contract=GS-35F-0242T&sin=132+51&src=elib&app=cat
AMDEX CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0463K&contractorName=AMDEX+CORPORATION&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0463K,301-588-4000 X116,"SILVER SPRING ,MD",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0463K/GS35F0463K_online.htm,advRedirect.do?contract=GS-35F-0463K&sin=132+51&src=elib&app=cat
"AMEC ENVIRONMENT & INFRASTRUCTURE, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0851R&contractorName=AMEC+ENVIRONMENT+%26+INFRASTRUCTURE%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0851R,610-877-6021,"SAN DIEGO ,CA",o,https://www.gsaadvantage.gov/ref_text/GS35F0851R/GS35F0851R_online.htm,advRedirect.do?contract=GS-35F-0851R&sin=132+51&src=elib&app=cat
AMEEX TECHNOLOGIES CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-498DA&contractorName=AMEEX+TECHNOLOGIES+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-498DA,847-563-3064,"SCHAUMBURG ,IL",s/d,https://www.gsaadvantage.gov/ref_text/GS35F498DA/GS35F498DA_online.htm,advRedirect.do?contract=GS-35F-498DA&sin=132+51&src=elib&app=cat
"AMERICAN BUSINESS SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0409V&contractorName=AMERICAN+BUSINESS+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0409V,614-917-2274,"LEWIS CENTER ,OH",o,https://www.gsaadvantage.gov/ref_text/GS35F0409V/GS35F0409V_online.htm,advRedirect.do?contract=GS-35F-0409V&sin=132+51&src=elib&app=cat
AMERICAN CABLE & WIRE LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0326X&contractorName=AMERICAN+CABLE+%26+WIRE+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0326X,703-201-7625,"GREAT FALLS ,VA",s/v,https://www.gsaadvantage.gov/ref_text/GS35F0326X/GS35F0326X_online.htm,advRedirect.do?contract=GS-35F-0326X&sin=132+51&src=elib&app=cat
"AMERICAN GOVERNMENT SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0424U&contractorName=AMERICAN+GOVERNMENT+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0424U,913-428-2550,"LEAWOOD ,KS",s,https://www.gsaadvantage.gov/ref_text/GS35F0424U/GS35F0424U_online.htm,advRedirect.do?contract=GS-35F-0424U&sin=132+51&src=elib&app=cat
"AMERICAN INFORMATICS SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-040CA&contractorName=AMERICAN+INFORMATICS+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-040CA,703-402-2740,"VIENNA ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F040CA/GS35F040CA_online.htm,advRedirect.do?contract=GS-35F-040CA&sin=132+51&src=elib&app=cat
"AMERICAN INFOTECH SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0468S&contractorName=AMERICAN+INFOTECH+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0468S,5712331637,"RESTON ,VA",s/d/8a/h,https://www.gsaadvantage.gov/ref_text/GS35F0468S/GS35F0468S_online.htm,advRedirect.do?contract=GS-35F-0468S&sin=132+51&src=elib&app=cat
AMERICAN SYSTEMS CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-500CA&contractorName=AMERICAN+SYSTEMS+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-500CA,7039685068,"CHANTILLY ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F500CA/GS35F500CA_online.htm,advRedirect.do?contract=GS-35F-500CA&sin=132+51&src=elib&app=cat
"AMICK BROWN, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-471CA&contractorName=AMICK+BROWN%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-471CA,9258202000,"SAN RAMON ,CA",s/w/wo/ew,https://www.gsaadvantage.gov/ref_text/GS35F471CA/GS35F471CA_online.htm,advRedirect.do?contract=GS-35F-471CA&sin=132+51&src=elib&app=cat
"AMICUS SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-430CA&contractorName=AMICUS+SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-430CA,718-897-2311,"FOREST HILLS ,NY",s,https://www.gsaadvantage.gov/ref_text/GS35F430CA/GS35F430CA_online.htm,advRedirect.do?contract=GS-35F-430CA&sin=132+51&src=elib&app=cat
AMOGH CONSULTANTS INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-286DA&contractorName=AMOGH+CONSULTANTS+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-286DA,469.867.1583,"HERNDON ,VA",s/w/wo/d,https://www.gsaadvantage.gov/ref_text/GS35F286DA/GS35F286DA_online.htm,advRedirect.do?contract=GS-35F-286DA&sin=132+51&src=elib&app=cat
"AMOVIUS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-011CA&contractorName=AMOVIUS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-011CA,321-216-3809,"TAMPA ,FL",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F011CA/GS35F011CA_online.htm,advRedirect.do?contract=GS-35F-011CA&sin=132+51&src=elib&app=cat
AMPCUS INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0466X&contractorName=AMPCUS+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0466X,703 637-7299 (X114),"CHANTILLY ,VA",s/w/wo/ew/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0466X/GS35F0466X_online.htm,advRedirect.do?contract=GS-35F-0466X&sin=132+51&src=elib&app=cat
"AMS TECHNOLOGIES, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-411BA&contractorName=AMS+TECHNOLOGIES%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-411BA,410-840-7358,"ELLICOTT CITY ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F411BA/GS35F411BA_online.htm,advRedirect.do?contract=GS-35F-411BA&sin=132+51&src=elib&app=cat
"AMS.NET, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0022W&contractorName=AMS.NET%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0022W,9252456100,"LIVERMORE ,CA",s,https://www.gsaadvantage.gov/ref_text/GS35F0022W/GS35F0022W_online.htm,advRedirect.do?contract=GS-35F-0022W&sin=132+51&src=elib&app=cat
AMTEK CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0398U&contractorName=AMTEK+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0398U,21476806111,"DALLAS ,TX",s,https://www.gsaadvantage.gov/ref_text/GS35F0398U/GS35F0398U_online.htm,advRedirect.do?contract=GS-35F-0398U&sin=132+51&src=elib&app=cat
